location[0],location[1],index,state,age,if_migra,mature,div_time,maxDiv,nDiv,cell_cycle,life_span,prob,prob_0,EGFR,IGF1R,AKT,ERK,a_ERK,a_AKT,GSK3b,IRF1,Gal9,pten
54,51,81,quiescent,53.5,11,14,19.5,8,2,14,192,1,0.150666,0.20675,0.228638,0.847405,0.845621,7.15,44,0.542749,0.602207,0.678427,0
52,45,82,quiescent,34.5,21,14,18.5,8,1,14,192,1,0.150648,0.206662,0.227545,0.847194,0.84547,7.15,44,0.542711,0.602165,0.678362,0
44,52,83,quiescent,35,22,14,19.5,8,1,14,192,1,0.150632,0.206522,0.226647,0.84701,0.845345,7.15,44,0.542679,0.602131,0.678319,0
48,44,84,quiescent,37,26,14,15,8,1,14,192,1,0.15064,0.206642,0.227052,0.847099,0.845402,7.15,44,0.542697,0.60215,0.678343,0
55,50,85,quiescent,51,6,14,21,8,2,14,192,1,0.150673,0.206809,0.229047,0.847483,0.845678,7.15,44,0.542762,0.602221,0.678446,0
47,44,86,quiescent,32.5,17,14,14.5,8,1,14,192,1,0.150641,0.206661,0.227101,0.847108,0.845409,7.15,44,0.542699,0.602153,0.678347,0
48,54,87,quiescent,54.5,13,14,24,8,2,14,192,1,0.150646,0.206601,0.2274,0.847165,0.84545,7.15,44,0.54271,0.602164,0.678367,0
54,48,88,quiescent,34.5,21,14,18,8,1,14,192,1,0.150658,0.206714,0.228138,0.847309,0.845552,7.15,44,0.54273,0.602186,0.678395,0
50,44,89,quiescent,33.5,19,14,17.5,8,1,14,192,1,0.150644,0.206649,0.227286,0.847144,0.845434,7.15,44,0.542703,0.602157,0.678349,0
53,45,90,quiescent,36,24,14,17.5,8,1,14,192,1,0.150656,0.20672,0.228037,0.847289,0.845538,7.15,44,0.542727,0.602183,0.678388,0
46,53,91,quiescent,36.5,25,14,18.5,8,1,14,192,1,0.150635,0.206527,0.226777,0.847041,0.845363,7.15,44,0.542687,0.602139,0.678331,0
54,46,92,quiescent,36.5,25,14,21.5,8,1,14,192,1,0.150662,0.206756,0.228371,0.847353,0.845584,7.15,44,0.542737,0.602194,0.678404,0
55,47,93,quiescent,39.5,31,14,20.5,8,1,14,192,1,0.150671,0.20682,0.228934,0.847461,0.845662,7.15,44,0.542756,0.602214,0.678434,0
50,54,94,quiescent,33,18,14,15.5,8,1,14,192,1,0.150653,0.206653,0.227836,0.847251,0.84551,7.15,44,0.542725,0.602181,0.67839,0
55,49,95,quiescent,30.5,13,14,14.5,8,1,14,192,1,0.15067,0.206799,0.228885,0.847452,0.845655,7.15,44,0.542755,0.602214,0.678435,0
47,54,96,quiescent,42,36,14,20.5,8,1,14,192,1,0.150644,0.206589,0.227313,0.847147,0.845438,7.15,44,0.542706,0.602161,0.678362,0
44,48,97,quiescent,29.5,11,14,14.5,8,1,14,192,1,0.15063,0.206559,0.226484,0.846982,0.845323,7.15,44,0.542674,0.602125,0.678311,0
