location[0],location[1],index,state,age,if_migra,mature,div_time,maxDiv,nDiv,cell_cycle,life_span,prob,prob_0,EGFR,IGF1R,AKT,ERK,a_ERK,a_AKT,GSK3b,IRF1,Gal9,pten
40,59,357,quiescent,84.5,25,14,52.5,8,1,14,192,1,0.0227061,0.204165,0.236709,0.270324,0.883278,7.15,44,0.341333,0.421142,0.298876,1
40,60,358,quiescent,85,26,14,17,8,2,14,192,1,0.0227099,0.204226,0.237019,0.270407,0.883308,7.15,44,0.341381,0.42117,0.298933,1
39,46,359,quiescent,101,10,14,68.5,8,1,14,192,1,0.0226698,0.203443,0.233855,0.269536,0.882994,7.15,44,0.340928,0.420916,0.298444,1
41,44,361,quiescent,111.5,31,14,67,8,1,14,192,1,0.0226559,0.203288,0.232917,0.269233,0.882904,7.15,44,0.34068,0.420773,0.298087,1
60,51,364,quiescent,96.5,1,14,16,8,2,14,192,1,0.0227014,0.204094,0.236315,0.270223,0.883241,7.15,44,0.341169,0.421046,0.298502,1
46,40,369,quiescent,141.5,43,14,73.5,8,2,14,192,1,0.0226437,0.203094,0.231941,0.268971,0.882808,7.15,44,0.340498,0.420669,0.297834,1
59,50,370,quiescent,88,32,14,66.5,8,1,14,192,1,0.0226951,0.203999,0.23586,0.270084,0.883197,7.15,44,0.341072,0.42099,0.298373,1
49,59,376,quiescent,145,2,14,80.5,8,2,14,192,1,0.0227257,0.20449,0.238481,0.270748,0.883454,7.15,44,0.341582,0.421284,0.299182,1
39,59,379,quiescent,94.5,45,14,31,8,3,14,192,1,0.0227161,0.20424,0.237449,0.270541,0.88335,7.15,44,0.341488,0.421232,0.299098,1
40,45,379,quiescent,57.5,19,14,41.5,8,1,14,192,1,0.0226616,0.203356,0.233301,0.269359,0.882941,7.15,44,0.340786,0.420834,0.298243,1
44,60,380,quiescent,49.5,3,14,17,8,1,14,192,1,0.0226941,0.204155,0.235961,0.270062,0.883206,7.15,44,0.34113,0.421026,0.29859,1
58,45,381,quiescent,66,36,14,23.5,8,1,14,192,1,0.0226858,0.203767,0.235107,0.269884,0.883121,7.15,44,0.341031,0.42097,0.298451,1
60,52,384,quiescent,140.5,41,14,88.5,8,2,14,192,1,0.0227061,0.204179,0.236696,0.270324,0.883278,7.15,44,0.341239,0.421085,0.298597,1
38,48,393,quiescent,81.5,19,14,18.5,8,1,14,192,1,0.022685,0.203611,0.234896,0.269868,0.883094,7.15,44,0.341164,0.421051,0.298754,1
